ID,Start_time,End_time,Start_time_String,End_time_string,Item,Price,Normal Price,Diff.,Quantity,Quantity (in kg),Price per kg,Normal Price per kg
981,1690972262,1690983000,2023-08-02 16:01:02,2023-08-02 19:00:00,Watermelon - Medium (Tarbuj),126,129,3,2.5 kg,2.5,50.4,51.6
460,1690972262,1690983000,2023-08-02 16:01:02,2023-08-02 19:00:00,Papaya - Small (Papita),81,83,2,1.2 kg,1.2,67.5,69.1666666666667
774,1690972262,1690983000,2023-08-02 16:01:02,2023-08-02 19:00:00,Ginger - New (Adrak),52,52,0,160 g,0.16,325.0,325.0
1564,1690972262,1690983000,2023-08-02 16:01:02,2023-08-02 19:00:00,Avocado - Hass (Butter Fruit) - Imported,95,97,2,220 g,0.22,431.818181818182,440.909090909091
7130,1690972262,1690983000,2023-08-02 16:01:02,2023-08-02 19:00:00,Aasai Idli Dosa Batter,60,60,0,1 L,1.0,60.0,60.0
7286,1690972262,1690983000,2023-08-02 16:01:02,2023-08-02 19:00:00,Harvest Gold Atta Bread,43,43,0,450 g,0.45,95.5555555555556,95.5555555555556
5679,1690972262,1690983000,2023-08-02 16:01:02,2023-08-02 19:00:00,Ananda Toned Milk Curd Pouch (Dahi),69,69,0,1 kg,1.0,69.0,69.0
9018,1690972262,1690983000,2023-08-02 16:01:02,2023-08-02 19:00:00,Abhi Eggs Gold+,75,75,0,6 pcs,6.0,12.5,12.5
5141,1690983062,1690990200,2023-08-02 19:01:02,2023-08-02 21:00:00,Banana - Medium,38,41,3,550 g,0.55,69.0909090909091,74.5454545454545
871,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Sponge Gourd (Tori),29,33,4,600 g,0.6,48.3333333333333,55.0
1968,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Pear - Indian (Nashpati),34,35,1,500 g,0.5,68.0,70.0
460,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Papaya - Small (Papita),79,83,4,1.2 kg,1.2,65.8333333333333,69.1666666666667
4157,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Lemon - Desi (Nimbu),15,16,1,130 g,0.13,115.384615384615,123.076923076923
926,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Pointed Gourd (Parval),29,30,1,500 g,0.5,58.0,60.0
